experiment_id,phase,research_question,protocol,dataset,split,threshold_selection_method,model,feature_set,transformation_condition,n_seeds,metrics,uncertainty_method,expected_runtime,dependencies,output_path,success_criterion,failure_criterion,status
P2B-AUDIT-PKG,2,Enable independent human label adjudication,stratified sampling (random pos; random weak-neg; high-score FP; low-score FN; conflict examples) + anonymized forms + evidence packets + guidelines + agreement scripts,task_aligned v1 + v2 per-row scores,n/a,n/a,n/a,n/a,n/a,seeded,inter-rater agreement scripts ready (kappa),n/a,~1-2 days,P1B-GDET-V2 scores,revision_v2/artifact/label_audit/,package complete and reproducible; NO claim of performed adjudication,n/a,mandatory
P2C-EXEC-VAL,2,Do transformations preserve observed execution on tested inputs?,fork-based EVM replay (foundry/anvil or py-evm) on 5-10 representative contracts; compare original vs M1/M2/M3/F200 on execution success calls targets storage writes transfers return values traces,selected malicious + benign delegates,n/a,n/a,n/a,n/a,M1 M2 M3 F200,deterministic txs,per-contract equivalence table over tested executions,n/a,~2-4 days (feasibility-gated),tooling decision (foundry install); entry-point identification,revision_v2/results/exec_validation/,>=5 contracts with identical traces original-vs-mutant on tested inputs,harness infeasible offline -> deliver minimum-implementation report,optional (gated)
P2D-BENIGN-GEN,2,FPR and score profile on 797 benign_general at corrected frozen thresholds,secondary-control eval; models+thresholds frozen from v2 primary protocol before scoring,task_aligned benign_general (797),trained on full primary population (like ind_06 but v2 thresholds),frozen v2 OOF-derived threshold,AuthGuard-v2 + baselines,per-method,M0,1 (+5 model seeds),FPR; score distribution; median; p95; alerts/1000; top-scoring cases,Wilson interval + family bootstrap,~15 min,P1B-GDET-V2,revision_v2/results/secondary_controls/benign_general.json,reported regardless of value,n/a,mandatory
P2D-BENIGN-AA,2,Case observations on 5 benign_AA delegates,descriptive scoring only,task_aligned benign_AA (5),same frozen models,frozen v2 thresholds,AuthGuard-v2,full,M0,1,per-case scores + narrative,none (n=5; explicitly case observations),~5 min,P2D-BENIGN-GEN,revision_v2/results/secondary_controls/benign_aa.json,cases described; no rates claimed,n/a,mandatory
P3A-TFIDF-LR,3,Does opcode n-gram TF-IDF + LR match AuthGuard?,G-DET-v2 protocol,task_aligned v1 primary (+secondary),stored folds,inner family-grouped OOF max-F1,TF-IDF(1-4gram) + LogisticRegression (inner-CV C),opcode n-gram TF-IDF,M0,5,AUPRC AUROC F1 P R FPR,fold std + paired family bootstrap vs AuthGuard,~30 min,P1B-GDET-V2 harness,revision_v2/results/baselines/tfidf_lr.json,honest comparison under identical folds,baseline >= AuthGuard AUPRC -> revise contribution claims,mandatory
P3A-TFIDF-SVM,3,Does TF-IDF + linear SVM match AuthGuard?,G-DET-v2 protocol,task_aligned v1 primary,stored folds,inner OOF max-F1 (calibrated decision values),LinearSVC (inner-CV C) or SGD hinge,opcode n-gram TF-IDF,M0,5,AUPRC AUROC F1 P R FPR,fold std + paired family bootstrap,~30 min,P3A-TFIDF-LR vectorizer,revision_v2/results/baselines/tfidf_svm.json,same,same,mandatory
P3A-HASHXGB,3,Is the hashed-4gram block alone sufficient?,G-DET-v2 protocol,task_aligned v1 primary,stored folds,inner OOF max-F1,XGBoost on 512 hashed 4-grams only,ngram-only,M0,5,AUPRC AUROC F1 P R FPR,fold std + paired bootstrap,~20 min,P1B-GDET-V2 harness,revision_v2/results/baselines/hash_xgb.json,same,same,mandatory
P3A-RESEED,3,Seed sensitivity of existing stochastic models,G-DET-v2 protocol repeated seeds,task_aligned v1 primary,stored folds,inner OOF max-F1,opcode_rf opcode_xgb authguard,per-method,M0,5 seeds (7702 + 4),mean/std across seeds,seed std reported alongside fold std,~1 h,P1B-GDET-V2,revision_v2/results/baselines/seed_sensitivity.json,seed std << family-fold std,seed std comparable to effect sizes -> flag instability,mandatory
P3B-ABL-STRUCT,3,Structural+selector block alone,G-DET-v2 ablation,task_aligned v1 primary,stored folds,inner OOF max-F1,XGBoost,36 structural/selector cols,M0,5,AUPRC AUROC F1 FPR,fold std + paired bootstrap vs full,part of ~2 h ablation batch,P1B-GDET-V2 harness,revision_v2/results/ablations/struct_only.json,quantifies block contribution,n/a,mandatory
P3B-ABL-HIST,3,Opcode histogram alone (existing opcode_xgb re-labeled),G-DET-v2 ablation,task_aligned v1 primary,stored folds,inner OOF max-F1,XGBoost,225 hist,M0,5,same,same,included,P1B-GDET-V2,revision_v2/results/ablations/hist_only.json,same,n/a,mandatory
P3B-ABL-HIST-STRUCT,3,Histogram + structural,G-DET-v2 ablation,task_aligned v1 primary,stored folds,inner OOF max-F1,XGBoost,261 dense,M0,5,same,same,included,P1B-GDET-V2,revision_v2/results/ablations/hist_struct.json,same,n/a,mandatory
P3B-ABL-HIST-NGRAM,3,Histogram + hashed 4-grams,G-DET-v2 ablation,task_aligned v1 primary,stored folds,inner OOF max-F1,XGBoost,225+512,M0,5,same,same,included,P1B-GDET-V2,revision_v2/results/ablations/hist_ngram.json,same,n/a,mandatory
P3B-ABL-NOSEL,3,Selector-free representation (drop has_* and selector counts),G-DET-v2 ablation,task_aligned v1 primary,stored folds,inner OOF max-F1,XGBoost,773 minus selector cols,M0,5,same,same,included,P1B-GDET-V2,revision_v2/results/ablations/selector_free.json,tests selector-shortcut dependence,large drop -> label-footprint dependence disclosed,mandatory
P3B-ABL-NOLEN,3,Remove code_bytes/n_ops/metadata-length-related features,G-DET-v2 ablation,task_aligned v1 primary,stored folds,inner OOF max-F1,XGBoost,773 minus length/metadata cols,M0,5,same,same,included,P1B-GDET-V2,revision_v2/results/ablations/no_length_metadata.json,tests length/compiler shortcuts,large drop -> shortcut disclosed,mandatory
P3C-FAM-SENS,3,Are conclusions stable across family thresholds 0.75/0.85/0.90?,G-DET-v2 rerun grouped by family_id_075 and family_id_090 (frozen columns; folds recomputed per grouping; primary frozen 0.85 untouched),task_aligned v1 primary,GroupKFold(5) per grouping variant,inner OOF max-F1,AuthGuard + strongest baseline,full,M0,1 (+3 model seeds),AUPRC + gap vs random + family diagnostics (counts singletons largest size-dist class-dist cross-class chaining),fold std + family bootstrap,~1 h,P1B-GDET-V2 harness,revision_v2/results/family_sensitivity/,conclusion ordering stable across thresholds,ordering flips -> report sensitivity prominently,mandatory
P3C-FAM-RECOMP,3,Sensitivity to recomputing families AFTER task alignment,rerun 01_freeze_families logic on 3082 retained rows (NEW file; frozen artifacts untouched); compare structure + G-DET,task_aligned v1,GroupKFold(5) on recomputed families,inner OOF max-F1,AuthGuard,full,M0,1,same + Rand index vs frozen families,family bootstrap,~1 h,P3C-FAM-SENS harness,revision_v2/results/family_sensitivity/recomputed/,labeled sensitivity analysis only; frozen primary preserved,material divergence -> discuss,mandatory
P3D-WEIGHT,3,Do conclusions depend on observation weighting?,reweighted evaluation of pooled v2 per-row scores: observation-weighted; inverse-family-size; one-vote-per-exact-bytecode; family-macro recall/FPR; family-clustered pooled metrics (NO per-family AUPRC averaging),task_aligned v1 primary,pooled outer-test predictions,frozen v2 thresholds,AuthGuard + strongest baseline,full,M0,n/a (post-hoc),weighted AUPRC (pooled) recall FPR macro-recall,family bootstrap,~30 min,P1B-GDET-V2 per-row scores,revision_v2/results/weighting/,direction of AG advantage stable under all weightings,advantage reverses under any weighting -> disclose,mandatory
P4A-FIRSTSTOP-HEUR,4,Trivial comparator: truncate at first STOP,G-DET-v2 + flooding conditions with features computed on bytes before first STOP,task_aligned v1 primary,stored folds,inner OOF max-F1,XGBoost,773 on truncated view,M0 + F200 + M3+F200,3,AUPRC recall FPR,fold std,~40 min,P1B-GDET-V2 harness,revision_v2/results/gateA/first_stop_heuristic.json,defines the bar Gate A must beat,n/a,mandatory (gate prerequisite)
P4A-DUALVIEW,4,Does a conservative terminal-aware dual-view representation improve flooding robustness without clean degradation?,dual-view features: full-view 773 + restricted-view 773 (conservative terminal-aware region) + trailing-byte volume + post-terminal ratio + view feature-diffs + score disagreement; success criteria PREDEFINED in protocol doc before results,task_aligned v1 primary (+benign_general control),stored folds,inner OOF max-F1,XGBoost on dual-view,dual-view (~1550+ dims),clean M0; G-MUT M1-M3; G-VOL; pure F200; compound M3+F200; G-ADV variants; benign_general,3,AUPRC recall FPR per condition,family bootstrap + fold std,~1-2 days incl. dev; time-boxed 4 working days,P1B P1C harnesses; P4A-FIRSTSTOP-HEUR,revision_v2/results/gateA/dualview/,meaningful flooding improvement AND clean dAUPRC >= -0.01..-0.02 AND no material benign FPR increase AND consistent across folds AND beats first-STOP heuristic,any criterion fails -> do not include in paper; write failure report,optional (Gate A; time-boxed)
P4B-ESCALATE,4,Can selective escalation concentrate errors in a small escalated subset?,escalation signals: conflict-hash history; trailing-byte ratio; dual-view disagreement; low margin; family/feature outlier score; transformation indicators. Threshold rule frozen on train/val only,task_aligned v1 primary + G-VOL + compound conditions,stored folds,frozen v2 thresholds + escalation cutoffs from val,AuthGuard-v2 (+dual-view if Gate A passes),full (+signals),clean; G-VOL; compound,3,auto-coverage %; escalation %; non-escalated recall/FPR; error concentration; escalations/1000,family bootstrap,~1 day; time-boxed 3 working days,P1B; P2A-CONFLICT; P4A signals (optional),revision_v2/results/gateB/,errors concentrate (e.g. >=2x error density in escalated set at <=10-15% escalation) with EIP-7702-specific justification,concentration weak -> retain framework-only contribution; report failure,optional (Gate B; time-boxed)
P5-GIGA-FEAS,5,Can the Gigahorse/Datalog reference analyzer run locally within budget?,setup spike: clone gigahorse-toolchain; Soufflé via Docker; wire USENIX client files (analyze.dl run_analysis.sh main.py env.yaml); smoke-test on 5 bytecodes,USENIX artifact + upstream toolchain,n/a,n/a,n/a,n/a,n/a,n/a,works/blocked + exact blockers log,n/a,time-boxed 1-2 working days HARD STOP,network + Docker availability,revision_v2/results/gigahorse/feasibility.md,decision Option A vs B recorded with evidence,blocked -> Option B report (blockers; attempted steps; dependency failures; remaining-work estimate),mandatory (decision fork)
P5-GIGA-SUBSET,5,Bounded agreement/coverage/timing subset vs AuthGuard,run reference analyzer on stratified subset (~50-100 contracts incl. M0 originals; optionally mutants),subset of task_aligned v1,n/a,n/a,reference analyzer vs AuthGuard-v2 scores,n/a,M0 (+M1-M3 optional),1,coverage %; failures; agreement/disagreement categories; preprocessing+analysis time; hardware; input requirements beyond bytecode,descriptive,~1 day,P5-GIGA-FEAS = Option A,revision_v2/results/gigahorse/subset_comparison.json,complementarity characterized; NO universal speedup claim,analyzer coverage too low (<50%) -> report as finding,optional (only if Option A)
P6B-OPER,6,Operational workload characterization,PR curves; recall-FPR curves; workload at selected thresholds; alerts/1000; hypothetical prevalence scenarios 0.1%/1%/5% (labeled hypothetical; no probability claims without calibration),pooled v2 per-row scores + benign_general control,pooled,frozen v2 thresholds + sweep,AuthGuard-v2 (+best baseline),full,M0 (+F200 context),n/a,PPV/NPV per scenario; alerts/1000; curves,family bootstrap bands,~half day,P1B P2D,revision_v2/results/operational/,every scenario labeled hypothetical,n/a,mandatory
P6A-ARTIFACT,6,Anonymous reproducibility artifact,package corpus (licensing permitting) + decision logs + designator results + conflict hashes + frozen families/folds + sensitivity families + feature defs + selector lists + model/baseline configs + versions + seeds + donor provenance + transformation/eval/bootstrap scripts + audit sampling + figure scripts; hashes for everything; reconstruction instructions if data non-redistributable,all frozen + v2 artifacts,n/a,n/a,n/a,n/a,n/a,n/a,artifact completeness checklist; hash manifest,n/a,~2-3 days,all mandatory phases,revision_v2/artifact/,fresh-environment reproduction of headline tables from artifact alone,licensing blocks corpus -> hashes + reconstruction instructions,mandatory
P6C-MANUSCRIPT,6,Integrate stabilized results and corrected claims,apply P1A claim corrections; rebuild tables from machine-readable v2 sources via generator scripts; contribution structure per decision gates,main.tex + tables,n/a,n/a,n/a,n/a,n/a,n/a,number-audit pass; claim-audit pass,n/a,~2 days,all result phases complete,revision_v2/manuscript/,every number traceable to JSON/CSV; no unsupported claims,n/a,mandatory
