review_id,contract_address,exact_bytecode_hash,bytecode_family_id,represented_contract_count,verified_project_name,coverage_status,llm_label,llm_confidence,llm_explanation,evidence_summary,decision,final_label,final_confidence,comment,llm_risk_categories,llm_uncertainties,represented_addresses,bytecode_length,first_observed_block,authorization_frequency,evidence_path,explorer_link,diagnostic_reasons
V2-0011,0x000000d431c6af6dbc651184c9c8abf98462789b,05b2dc3b74112e34d19028f8b9141c4016a9cb1463b634739ee55fbd6fbef852,FAM00010,1,,PARTIAL,R2,low,0x000000d431c6af6dbc651184c9c8abf98462789b: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,"exec=6609B meta=53B; reachable={'CALL': 4, 'SSTORE': 1}; unguarded={'CALL': 1}; guards=10; ecrecover=True; unresolved_jumps=6; coverage=PARTIAL; coverage_reasons=6 dynamic JUMP target(s) could not be resolved; 9 stack underflow(s) during symbolic execution",,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | Coverage is PARTIAL: 6 dynamic JUMP target(s) could not be resolved; 9 stack underflow(s) during symbolic execution | No verified source on Sourcify to corroborate the bytecode evidence.",0x000000d431c6af6dbc651184c9c8abf98462789b,6662,25612117,151,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000d431c6af6dbc651184c9c8abf98462789b.json,https://etherscan.io/address/0x000000d431c6af6dbc651184c9c8abf98462789b,low_confidence
V2-0012,0xe9707d82341c3ef8feea772223635c981a0789fb,05ba203617d2b4ad62ff4178eb3908d07d3207e51d2eef6e66503ca32cbdf56b,FAM00096,1,,COMPLETE,R2,medium,0xe9707d82341c3ef8feea772223635c981a0789fb: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=2568B meta=53B; reachable={'CALL': 8}; unguarded=none; guards=20; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | No verified source on Sourcify to corroborate the bytecode evidence.",0xe9707d82341c3ef8feea772223635c981a0789fb,2621,25642286,20,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xe9707d82341c3ef8feea772223635c981a0789fb.json,https://etherscan.io/address/0xe9707d82341c3ef8feea772223635c981a0789fb,label_changed_v1_B_to_v2_R2
V2-0013,0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec,062d5047306ce7ac3d3bf531c9eb18a65d28b53886fd29c8ebcb8ded7e569c9c,FAM00300,1,,COMPLETE,R1,medium,"0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=7650B meta=53B; reachable={'CALL': 8}; unguarded={'CALL': 7}; guards=13; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec,7703,25601320,100,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec.json,https://etherscan.io/address/0x9a6bc2f56b9bbcb5a354d336dbda10ef8febd0ec,r1_case; label_changed_v1_R2_to_v2_R1; proxy_or_delegatecall
V2-0014,0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f,06b2731ac34a20595c8a30fe07fffd1e95ae25ba7b8e805e816dca0aac7d83bf,FAM00016,1,,PARTIAL,R2,low,0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,"exec=13527B meta=0B; reachable={'CALL': 11}; unguarded={'CALL': 3}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4",,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | Coverage is PARTIAL: traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4; metadata trailer not separable (metadata_start_not_instruction_boundary); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f,13527,25614484,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f.json,https://etherscan.io/address/0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f,low_confidence; analyzer_disagreement_present_but_unreached; no_recognizable_solidity_metadata
V2-0015,0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,06c86168dcb74cdb69a55e9ec0e95e56dce60d1239189f2211b9f7d2c8fcfce7,FAM00438,1,,COMPLETE,R1,medium,"0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1813B meta=53B; reachable={'CALL': 4}; unguarded={'CALL': 4}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,1866,25628095,2,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df.json,https://etherscan.io/address/0xf938a5c0a6f3ea76ffd05e484f3d723af6c379df,r1_case; label_changed_v1_R2_to_v2_R1
V2-0016,0xead1651f65ff16f95bd7772754a5d936501ad655,06d54dd275ad7ce44ea10d1489f15876d84574a7a02b081af21cba1b9047627c,FAM00415,1,SOURCIFY_VERIFIED_UNNAMED,COMPLETE,R1,medium,"0xead1651f65ff16f95bd7772754a5d936501ad655: unguarded_call_to_calldata_supplied_target reachable from entry on a path passing no recognized caller or signature guard, under complete control-flow coverage.",exec=1038B meta=53B; reachable={'CALL': 1}; unguarded={'CALL': 1}; guards=0; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_to_calldata_supplied_target,,0xead1651f65ff16f95bd7772754a5d936501ad655,1091,25660919,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xead1651f65ff16f95bd7772754a5d936501ad655.json,https://etherscan.io/address/0xead1651f65ff16f95bd7772754a5d936501ad655,r1_case; verified_source; label_changed_v1_B_to_v2_R1
V2-0017,0x0bb0599bec7ecaf592076672908e00d87a988934,075767e33c155e1b6f3d86dab12d63445bf7f923b27373001bae176baeed5951,FAM00042,1,,PARTIAL,U,medium,"0x0bb0599bec7ecaf592076672908e00d87a988934: no reachable capability found, but coverage is PARTIAL, so absence cannot be concluded from this evidence.",exec=2456B meta=53B; reachable=none; unguarded=none; guards=0; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=capabilities present in executable code were never reached by the traversal: CALLx1,,,,,incomplete_control_flow_coverage,capabilities present in executable code were never reached by the traversal: CALLx1,0x0bb0599bec7ecaf592076672908e00d87a988934,2509,25676624,26,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0bb0599bec7ecaf592076672908e00d87a988934.json,https://etherscan.io/address/0x0bb0599bec7ecaf592076672908e00d87a988934,u_case; analyzer_disagreement_present_but_unreached; label_changed_v1_B_to_v2_U
V2-0018,0x2c6f01799fa9db1e7f2797e5ba892b72b865571d,075e3986f73f3c5aebfe3aadb0776f0619bd7fd1276a43ac7fa9e9ee1a367d01,FAM00112,1,,COMPLETE,R2,medium,0x2c6f01799fa9db1e7f2797e5ba892b72b865571d: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,exec=17329B meta=53B; reachable={'CALL': 2}; unguarded={'CALL': 1}; guards=3; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | No verified source on Sourcify to corroborate the bytecode evidence.",0x2c6f01799fa9db1e7f2797e5ba892b72b865571d,17382,25595590,3066,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x2c6f01799fa9db1e7f2797e5ba892b72b865571d.json,https://etherscan.io/address/0x2c6f01799fa9db1e7f2797e5ba892b72b865571d,
V2-0019,0x4dc25713da4873061f0af4d744e15142f6379734,075e498e6d0378a23a60612a5935ae766144077c23afec0683d7ccd89e6ab24f,FAM00094,1,,COMPLETE,R2,medium,0x4dc25713da4873061f0af4d744e15142f6379734: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,exec=2087B meta=53B; reachable={'CALL': 4}; unguarded={'CALL': 1}; guards=2; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | No verified source on Sourcify to corroborate the bytecode evidence.",0x4dc25713da4873061f0af4d744e15142f6379734,2140,25597640,25,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x4dc25713da4873061f0af4d744e15142f6379734.json,https://etherscan.io/address/0x4dc25713da4873061f0af4d744e15142f6379734,
V2-0020,0x1e4c8ef03b68d89c87291268eb52d7eb1aeb8680,07bf7b8dec13d815b5cd266a3f027613848d5c2b5e0917ac8994d1c48aaef55b,FAM00075,1,,PARTIAL,R2,low,0x1e4c8ef03b68d89c87291268eb52d7eb1aeb8680: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=3741B meta=0B; reachable={'CALL': 2}; unguarded=none; guards=3; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=metadata trailer not separable (executable_fallthrough_into_metadata_possible); opcode counts may include non-executable bytes,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | Coverage is PARTIAL: metadata trailer not separable (executable_fallthrough_into_metadata_possible); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0x1e4c8ef03b68d89c87291268eb52d7eb1aeb8680,3741,25649021,13,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1e4c8ef03b68d89c87291268eb52d7eb1aeb8680.json,https://etherscan.io/address/0x1e4c8ef03b68d89c87291268eb52d7eb1aeb8680,low_confidence; label_changed_v1_B_to_v2_R2; no_recognizable_solidity_metadata
V2-0021,0xef8cc49ca1fd7f5c35924a33547d76fe1c85d4e8,07c752fad69a792387ceb09fffa12b75b210ca43c2c0fdf1a80f52c1ac4e526e,FAM00425,1,,PARTIAL,R2,low,0xef8cc49ca1fd7f5c35924a33547d76fe1c85d4e8: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=3883B meta=0B; reachable={'CALL': 1}; unguarded=none; guards=5; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=metadata trailer not separable (metadata_contains_executable_jumpdest); opcode counts may include non-executable bytes,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | Coverage is PARTIAL: metadata trailer not separable (metadata_contains_executable_jumpdest); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0xef8cc49ca1fd7f5c35924a33547d76fe1c85d4e8,3883,25597670,514,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xef8cc49ca1fd7f5c35924a33547d76fe1c85d4e8.json,https://etherscan.io/address/0xef8cc49ca1fd7f5c35924a33547d76fe1c85d4e8,low_confidence; no_recognizable_solidity_metadata
V2-0022,0x93560c638407d87cb0b0d317ddfc1640ca0a5247,07f747a8eaeb763a04d0ffb9b3007152948855dab25fa5b0edbd9febcb0d6636,FAM00016,1,,PARTIAL,R2,low,0x93560c638407d87cb0b0d317ddfc1640ca0a5247: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,"exec=13527B meta=0B; reachable={'CALL': 11}; unguarded={'CALL': 3}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4",,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | Coverage is PARTIAL: traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4; metadata trailer not separable (metadata_start_not_instruction_boundary); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0x93560c638407d87cb0b0d317ddfc1640ca0a5247,13527,25619326,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x93560c638407d87cb0b0d317ddfc1640ca0a5247.json,https://etherscan.io/address/0x93560c638407d87cb0b0d317ddfc1640ca0a5247,low_confidence; analyzer_disagreement_present_but_unreached; no_recognizable_solidity_metadata
V2-0023,0x50e8e9c7638286137c18b2edc6bfad36c6bbe66e,085244a13d7ba82120128aa34f1392a33c7ce901e059d51b5c5b19f30283ad28,FAM00063,1,SOURCIFY_VERIFIED_UNNAMED,COMPLETE,R2,medium,0x50e8e9c7638286137c18b2edc6bfad36c6bbe66e: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=5184B meta=53B; reachable={'CALL': 2}; unguarded=none; guards=3; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve.",0x50e8e9c7638286137c18b2edc6bfad36c6bbe66e,5237,25630354,16,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x50e8e9c7638286137c18b2edc6bfad36c6bbe66e.json,https://etherscan.io/address/0x50e8e9c7638286137c18b2edc6bfad36c6bbe66e,verified_source
