chain,address,proposed_label,confidence,risk_categories,coverage_status,review_path,v1_label,v1_confidence
ethereum,0x000000d431c6af6dbc651184c9c8abf98462789b,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x000000d431c6af6dbc651184c9c8abf98462789b.json,R2,low
ethereum,0x0000886f49de8c71a20f7f8cd681e2b8f0bb2982,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0000886f49de8c71a20f7f8cd681e2b8f0bb2982.json,R2,low
ethereum,0x0000fb7702036ff9f76044a501ac1aa74cbab16b,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0000fb7702036ff9f76044a501ac1aa74cbab16b.json,B,high
ethereum,0x0055079c877f564f9f624a7b81a3479d8fd05500,U,medium,incomplete_control_flow_coverage,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0055079c877f564f9f624a7b81a3479d8fd05500.json,B,high
ethereum,0x00bc0518486fda00d64ced8dad163e736939f3d6,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x00bc0518486fda00d64ced8dad163e736939f3d6.json,B,medium
ethereum,0x02102444bd6065f32485abae024ebb93ee907e0c,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x02102444bd6065f32485abae024ebb93ee907e0c.json,R1,low
ethereum,0x0277aeea43656c969b3ed23e9700b52e1f94ed46,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0277aeea43656c969b3ed23e9700b52e1f94ed46.json,R2,low
ethereum,0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9.json,B,medium
ethereum,0x029901e77902e3656ee7b207d04df5330c4450c7,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x029901e77902e3656ee7b207d04df5330c4450c7.json,B,medium
ethereum,0x030ad3186a697ac74a9b59ad207d786af84e34f9,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x030ad3186a697ac74a9b59ad207d786af84e34f9.json,R2,low
ethereum,0x034304c387dd5bd1d129ccfc26680a8d2594db2a,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x034304c387dd5bd1d129ccfc26680a8d2594db2a.json,B,medium
ethereum,0x0389c8a646b5b5b529995531474abba9c2d90115,R2,low,unguarded_capability_under_incomplete_coverage; unguarded_call_with_unproven_target_control; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0389c8a646b5b5b529995531474abba9c2d90115.json,R2,low
ethereum,0x03a46a241aa7073552652032aba85be46f647795,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x03a46a241aa7073552652032aba85be46f647795.json,B,medium
ethereum,0x043600008d6a1d7811a99bb1299f61825bf5f2d7,R2,medium,unguarded_call_with_unproven_target_control,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x043600008d6a1d7811a99bb1299f61825bf5f2d7.json,B,medium
ethereum,0x0506d2d12569867dec66c12d43b9b253e9214fab,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0506d2d12569867dec66c12d43b9b253e9214fab.json,R2,low
ethereum,0x057360cb7b9f6709fb2863fc18b39f444037ced5,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x057360cb7b9f6709fb2863fc18b39f444037ced5.json,R2,low
ethereum,0x057c92bd351f01573d6ca9dfe23035f1b7aa9147,R2,low,guard_dominated_sensitive_capability; unguarded_state_write_or_creation,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x057c92bd351f01573d6ca9dfe23035f1b7aa9147.json,B,high
ethereum,0x0593b065bdf6d60630a16d7900b3066c57b1f4ce,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0593b065bdf6d60630a16d7900b3066c57b1f4ce.json,B,medium
ethereum,0x05ae73c5925d843864ae6f261f3175de2ebcd963,R2,low,guard_dominated_sensitive_capability,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x05ae73c5925d843864ae6f261f3175de2ebcd963.json,R2,low
ethereum,0x05de2ef4c528409fd6c6f67354f32d09964136bb,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x05de2ef4c528409fd6c6f67354f32d09964136bb.json,R2,low
ethereum,0x05fe64ffe5b93bb35af04f94d2631929a4410c1a,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x05fe64ffe5b93bb35af04f94d2631929a4410c1a.json,R2,low
ethereum,0x06467f4c351c9dcbe6e07645e50125cc049ddee8,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x06467f4c351c9dcbe6e07645e50125cc049ddee8.json,R2,low
ethereum,0x064f5c540e81c5c72c3542f785eecffd9e54aed7,R2,low,guard_dominated_sensitive_capability,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x064f5c540e81c5c72c3542f785eecffd9e54aed7.json,R2,low
ethereum,0x068e4fec0c3e7f83f646ec3d9b8028521180464a,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x068e4fec0c3e7f83f646ec3d9b8028521180464a.json,R2,low
ethereum,0x0786e216d94b5dae9bd0cc502c07c6f774808c93,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0786e216d94b5dae9bd0cc502c07c6f774808c93.json,R2,medium
ethereum,0x07917783be7a2cfc2cae7fe20c17ff9ae1c7b7cc,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x07917783be7a2cfc2cae7fe20c17ff9ae1c7b7cc.json,R2,low
ethereum,0x079596b325d8d3b776ab304eb4b3ffe993a3abe9,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x079596b325d8d3b776ab304eb4b3ffe993a3abe9.json,R2,low
ethereum,0x07ad2cb96d87565796e173b9a07f088ee779c59e,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x07ad2cb96d87565796e173b9a07f088ee779c59e.json,R2,low
ethereum,0x07e24e265de698fb3b2b02315f70154619a184b0,R2,medium,unguarded_call_with_unproven_target_control,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x07e24e265de698fb3b2b02315f70154619a184b0.json,B,medium
ethereum,0x07f1abed005fef7f9cf6bad23bdc8fd85e93f3d5,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x07f1abed005fef7f9cf6bad23bdc8fd85e93f3d5.json,R2,low
ethereum,0x08a48a3ab05d0a6590c8efaf3f16d4245fa3363d,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x08a48a3ab05d0a6590c8efaf3f16d4245fa3363d.json,R2,low
ethereum,0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24.json,R1,low
ethereum,0x096965cceb716c99256a0fe5994873c184a8b1a6,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x096965cceb716c99256a0fe5994873c184a8b1a6.json,R2,low
ethereum,0x09b7496152fe1136ecfdc60d79d40f56837fecf8,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x09b7496152fe1136ecfdc60d79d40f56837fecf8.json,R2,low
ethereum,0x09c7132f49b7bd1ca444a677ee7c70fa61d86a16,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x09c7132f49b7bd1ca444a677ee7c70fa61d86a16.json,R2,low
ethereum,0x0a134aafaa7834fcc1d8b0ef1f3addf48f0005aa,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0a134aafaa7834fcc1d8b0ef1f3addf48f0005aa.json,R2,low
ethereum,0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f.json,R2,low
ethereum,0x0a61ada69f98f4a9227afb8b91202e1a2a5ab54e,R2,low,guard_dominated_sensitive_capability,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0a61ada69f98f4a9227afb8b91202e1a2a5ab54e.json,R2,low
ethereum,0x0a6ef917a8d493350f7a5a414d15e93ec5fff2ce,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0a6ef917a8d493350f7a5a414d15e93ec5fff2ce.json,R2,low
ethereum,0x0b399090530a5884e387a08d718faf6b1f7bc41d,R2,medium,guard_dominated_sensitive_capability; unguarded_state_write_or_creation,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0b399090530a5884e387a08d718faf6b1f7bc41d.json,R2,medium
ethereum,0x0b50b2854b262a5193596bb8aa9aed3d630b39c1,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0b50b2854b262a5193596bb8aa9aed3d630b39c1.json,B,medium
ethereum,0x0b63f2c64aec98e4d066fae5b8178ef74fdcc8fb,R2,low,unguarded_capability_under_incomplete_coverage; unguarded_call_with_unproven_target_control; unguarded_state_write_or_creation,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0b63f2c64aec98e4d066fae5b8178ef74fdcc8fb.json,R2,low
ethereum,0x0ba0715cb1ef43504a8a82593a3a708c3b436a05,R2,medium,guard_dominated_sensitive_capability; unguarded_state_write_or_creation,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0ba0715cb1ef43504a8a82593a3a708c3b436a05.json,B,medium
ethereum,0x0bb0599bec7ecaf592076672908e00d87a988934,U,medium,incomplete_control_flow_coverage,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0bb0599bec7ecaf592076672908e00d87a988934.json,B,medium
ethereum,0x0be91e7ba24da3a9573e6991d1c9e8604363adcb,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0be91e7ba24da3a9573e6991d1c9e8604363adcb.json,R2,low
ethereum,0x0c60d7d7645e106c0293c99a77ad7dea9043ef73,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0c60d7d7645e106c0293c99a77ad7dea9043ef73.json,R2,low
ethereum,0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0,R2,medium,unguarded_call_with_unproven_target_control,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0.json,R2,low
ethereum,0x0c77c9cd1e2005e6b8f89c33bf3cc17ab5ac3956,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0c77c9cd1e2005e6b8f89c33bf3cc17ab5ac3956.json,R2,low
ethereum,0x0c864eab51c987b3719ad86ae0d1ca153a218cd0,R2,low,unguarded_call_with_unproven_target_control; unguarded_state_write_or_creation,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0c864eab51c987b3719ad86ae0d1ca153a218cd0.json,R2,low
ethereum,0x0c8c225152faeb06ab88cf825ad61e5c4072e529,R2,low,guard_dominated_sensitive_capability,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0c8c225152faeb06ab88cf825ad61e5c4072e529.json,R2,low
ethereum,0x0cc2232f45de23c56327ab28321b575bcb0b4d55,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0cc2232f45de23c56327ab28321b575bcb0b4d55.json,B,medium
ethereum,0x0d3fb7164ca626550919b86b1bf08212b7d724b4,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0d3fb7164ca626550919b86b1bf08212b7d724b4.json,R2,low
ethereum,0x0d51a448891cb68cc94942c295fe89d40d97aab1,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0d51a448891cb68cc94942c295fe89d40d97aab1.json,R2,low
ethereum,0x0e04736a85433445ef602d07946671685ec94647,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0e04736a85433445ef602d07946671685ec94647.json,B,medium
ethereum,0x0e83f7049e82b61251a4a296451ea286475cf918,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0e83f7049e82b61251a4a296451ea286475cf918.json,R2,low
ethereum,0x0f1368cca0abadb88b9a847f84682d7d077ae31f,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0f1368cca0abadb88b9a847f84682d7d077ae31f.json,R2,low
ethereum,0x0f9201926c0444f1a90dbc3ecc6b03f086ebfb67,R2,low,guard_dominated_sensitive_capability,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0f9201926c0444f1a90dbc3ecc6b03f086ebfb67.json,R2,low
ethereum,0x10f9d7e161f6eb528412d51571716f74000e4190,R2,low,unguarded_capability_under_incomplete_coverage; unguarded_call_with_unproven_target_control; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x10f9d7e161f6eb528412d51571716f74000e4190.json,R2,medium
ethereum,0x1108f0b04bff759f4af73dd55e49cfd9ab6a6511,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x1108f0b04bff759f4af73dd55e49cfd9ab6a6511.json,R2,low
ethereum,0x114d1acf57133235acfb46d4d802c3edbedc36d0,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x114d1acf57133235acfb46d4d802c3edbedc36d0.json,B,medium
ethereum,0x11e7af2c7a0431a975a7fa1f5d696cb252cbd3f0,R2,low,guard_dominated_sensitive_capability; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x11e7af2c7a0431a975a7fa1f5d696cb252cbd3f0.json,R2,low
ethereum,0x12acfa58d4fc440016dde77b49d0b2cf32f6d17f,U,medium,incomplete_control_flow_coverage,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x12acfa58d4fc440016dde77b49d0b2cf32f6d17f.json,R2,low
ethereum,0x13e00e089f81ad9f36b655c9e9a07c6bf1489a5a,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x13e00e089f81ad9f36b655c9e9a07c6bf1489a5a.json,B,medium
ethereum,0x144ad9513c77bd80ab6e6028f87777d848307b83,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x144ad9513c77bd80ab6e6028f87777d848307b83.json,R2,low
ethereum,0x14dd7672e56b31f4bff67940056f4a105ece6b3d,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x14dd7672e56b31f4bff67940056f4a105ece6b3d.json,R2,low
ethereum,0x14eb85c766a24fa18a2008d9d2ba69344830e938,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x14eb85c766a24fa18a2008d9d2ba69344830e938.json,R2,low
ethereum,0x15236f06922a288b68e57ab42e397920a3f3bb99,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x15236f06922a288b68e57ab42e397920a3f3bb99.json,B,high
ethereum,0x152837cde9fa77943f9824876963563e6674ac53,R2,low,unguarded_capability_under_incomplete_coverage; unguarded_call_with_unproven_target_control; unguarded_state_write_or_creation,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x152837cde9fa77943f9824876963563e6674ac53.json,R2,low
ethereum,0x152fdf67a77287016de7545de5f40fea5eed8eb3,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x152fdf67a77287016de7545de5f40fea5eed8eb3.json,R2,low
ethereum,0x157c9856e7b3c75375dd8bfcc7ee78546a25a37d,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x157c9856e7b3c75375dd8bfcc7ee78546a25a37d.json,B,high
ethereum,0x15c575058fa99edb2288443bcc55e93084c7158d,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x15c575058fa99edb2288443bcc55e93084c7158d.json,B,high
ethereum,0x15c5998fda2cfe01e99b052b90be359ffa58f9cf,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x15c5998fda2cfe01e99b052b90be359ffa58f9cf.json,R2,low
ethereum,0x15fff8b96a6bfd089af6457534e9113e4a6f598a,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x15fff8b96a6bfd089af6457534e9113e4a6f598a.json,R2,low
ethereum,0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f.json,R2,low
ethereum,0x165885f2cf03eae6fd54eb47aca83d6a4be172de,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x165885f2cf03eae6fd54eb47aca83d6a4be172de.json,R2,low
ethereum,0x166fa61a7d4cc83c35ad5dfa66f3451578322c8b,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x166fa61a7d4cc83c35ad5dfa66f3451578322c8b.json,R2,low
ethereum,0x170c7f244bc817efa7845f41d433e2c48e32ebd3,R2,medium,guard_dominated_sensitive_capability,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x170c7f244bc817efa7845f41d433e2c48e32ebd3.json,R2,low
ethereum,0x176102adb2b30a1d40b092a7f5fa52205bf1310a,R2,medium,unguarded_call_with_unproven_target_control,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x176102adb2b30a1d40b092a7f5fa52205bf1310a.json,R2,low
ethereum,0x176aac415a5bb3db03f535cb972f3f297c437d37,R2,medium,unguarded_call_with_unproven_target_control,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x176aac415a5bb3db03f535cb972f3f297c437d37.json,R2,low
ethereum,0x178b89387e65cb19a83e2763fa0fa2ef16b51ea2,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x178b89387e65cb19a83e2763fa0fa2ef16b51ea2.json,R2,low
ethereum,0x17cf3d94a8763d8ad1a95690696b1b5d4c44875d,R2,medium,unguarded_call_with_unproven_target_control,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x17cf3d94a8763d8ad1a95690696b1b5d4c44875d.json,R2,low
ethereum,0x18349bb159ebf0502735c577f52e8ed9325a5695,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x18349bb159ebf0502735c577f52e8ed9325a5695.json,R2,low
ethereum,0x186bafe61c84ba5f0e627da1876c3888d7e20934,R2,low,unguarded_call_with_unproven_target_control,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x186bafe61c84ba5f0e627da1876c3888d7e20934.json,R2,low
ethereum,0x1881a6e39ed37fc760c6ef96c6c2e6430a937603,B,medium,,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x1881a6e39ed37fc760c6ef96c6c2e6430a937603.json,B,medium
